Ensembl	pval	protein
ENSP00000000233	0.53826	9606.ENSP00000000233
ENSP00000000412	0.0017757	9606.ENSP00000000412
ENSP00000001008	0.12563	9606.ENSP00000001008
ENSP00000001146	0.52941	9606.ENSP00000001146
ENSP00000002125	0.35365	9606.ENSP00000002125
ENSP00000002165	0.41953	9606.ENSP00000002165
ENSP00000002596	0.72252	9606.ENSP00000002596
ENSP00000002829	0.47117	9606.ENSP00000002829
ENSP00000003084	0.68844	9606.ENSP00000003084
ENSP00000003100	0.35858	9606.ENSP00000003100
ENSP00000003302	0.2715	9606.ENSP00000003302
ENSP00000004531	0.52059	9606.ENSP00000004531
ENSP00000004982	0.0068548	9606.ENSP00000004982
ENSP00000005178	0.24086	9606.ENSP00000005178
ENSP00000005257	0.33071	9606.ENSP00000005257
ENSP00000005260	0.20185	9606.ENSP00000005260
ENSP00000005284	0.83764	9606.ENSP00000005284
ENSP00000005286	0.0089197	9606.ENSP00000005286
ENSP00000005340	0.1462	9606.ENSP00000005340
ENSP00000005386	0.04441	9606.ENSP00000005386
ENSP00000005587	0.09922	9606.ENSP00000005587
ENSP00000005995	0.29164	9606.ENSP00000005995
ENSP00000006015	0.74636	9606.ENSP00000006015
ENSP00000006053	9.5007e-4	9606.ENSP00000006053
ENSP00000006275	0.3835	9606.ENSP00000006275
ENSP00000006526	0.37736	9606.ENSP00000006526
ENSP00000006658	0.057368	9606.ENSP00000006658
ENSP00000006724	0.4459	9606.ENSP00000006724
ENSP00000006777	0.56359	9606.ENSP00000006777
ENSP00000007390	0.59573	9606.ENSP00000007390
ENSP00000007414	0.0016227	9606.ENSP00000007414
ENSP00000007699	0.21016	9606.ENSP00000007699
ENSP00000007735	0.0030391	9606.ENSP00000007735
ENSP00000008391	0.18565	9606.ENSP00000008391
ENSP00000008527	0.51649	9606.ENSP00000008527
ENSP00000008938	0.81388	9606.ENSP00000008938
ENSP00000009041	0.024665	9606.ENSP00000009041
ENSP00000009105	0.61354	9606.ENSP00000009105
ENSP00000009530	0.17178	9606.ENSP00000009530
ENSP00000010299	0.78448	9606.ENSP00000010299
ENSP00000011292	0.11082	9606.ENSP00000011292
ENSP00000011473	0.20331	9606.ENSP00000011473
ENSP00000011619	0.92241	9606.ENSP00000011619
ENSP00000011653	0.050002	9606.ENSP00000011653
ENSP00000011898	0.048228	9606.ENSP00000011898
ENSP00000012049	0.20457	9606.ENSP00000012049
ENSP00000012443	0.099132	9606.ENSP00000012443
ENSP00000013070	0.79256	9606.ENSP00000013070
ENSP00000013125	0.30787	9606.ENSP00000013125
ENSP00000013222	0.7124	9606.ENSP00000013222
ENSP00000013807	0.15374	9606.ENSP00000013807
ENSP00000014914	0.7742	9606.ENSP00000014914
ENSP00000014930	0.17372	9606.ENSP00000014930
ENSP00000016171	0.12468	9606.ENSP00000016171
ENSP00000016913	0.46152	9606.ENSP00000016913
ENSP00000017003	0.20085	9606.ENSP00000017003
ENSP00000019103	0.60367	9606.ENSP00000019103
ENSP00000020926	0.43237	9606.ENSP00000020926
ENSP00000020945	0.9157	9606.ENSP00000020945
ENSP00000023064	0.63212	9606.ENSP00000023064
ENSP00000023939	0.083688	9606.ENSP00000023939
ENSP00000025008	0.78812	9606.ENSP00000025008
ENSP00000025301	0.65443	9606.ENSP00000025301
ENSP00000026218	0.28992	9606.ENSP00000026218
ENSP00000027335	0.24631	9606.ENSP00000027335
ENSP00000029410	0.81482	9606.ENSP00000029410
ENSP00000033079	0.3321	9606.ENSP00000033079
ENSP00000035307	0.46477	9606.ENSP00000035307
ENSP00000037243	0.64386	9606.ENSP00000037243
ENSP00000037502	0.13442	9606.ENSP00000037502
ENSP00000039989	0.83626	9606.ENSP00000039989
ENSP00000040584	0.35623	9606.ENSP00000040584
ENSP00000040663	0.67517	9606.ENSP00000040663
ENSP00000040738	0.54533	9606.ENSP00000040738
ENSP00000040877	0.68141	9606.ENSP00000040877
ENSP00000043402	0.66631	9606.ENSP00000043402
ENSP00000044462	0.47638	9606.ENSP00000044462
ENSP00000045083	0.42918	9606.ENSP00000045083
ENSP00000046087	0.035372	9606.ENSP00000046087
ENSP00000046794	0.044742	9606.ENSP00000046794
ENSP00000052754	0.67654	9606.ENSP00000052754
ENSP00000053243	0.16365	9606.ENSP00000053243
ENSP00000053468	0.6973	9606.ENSP00000053468
ENSP00000053867	0.60114	9606.ENSP00000053867
ENSP00000054650	0.78618	9606.ENSP00000054650
ENSP00000054666	0.34955	9606.ENSP00000054666
ENSP00000054668	0.5244	9606.ENSP00000054668
ENSP00000054950	0.71606	9606.ENSP00000054950
ENSP00000055077	0.83708	9606.ENSP00000055077
ENSP00000056217	0.99804	9606.ENSP00000056217
ENSP00000056233	0.86851	9606.ENSP00000056233
ENSP00000061240	0.68695	9606.ENSP00000061240
ENSP00000064571	0.013971	9606.ENSP00000064571
ENSP00000064724	0.1576	9606.ENSP00000064724
ENSP00000064778	0.14082	9606.ENSP00000064778
ENSP00000064780	0.43455	9606.ENSP00000064780
ENSP00000070846	0.091251	9606.ENSP00000070846
ENSP00000072644	0.66515	9606.ENSP00000072644
ENSP00000072869	0.58522	9606.ENSP00000072869
ENSP00000074304	0.79382	9606.ENSP00000074304
ENSP00000075120	0.0032157	9606.ENSP00000075120
ENSP00000075503	0.42214	9606.ENSP00000075503
ENSP00000078429	0.39034	9606.ENSP00000078429
ENSP00000078445	0.13027	9606.ENSP00000078445
ENSP00000080059	0.04977	9606.ENSP00000080059
ENSP00000081029	0.64474	9606.ENSP00000081029
ENSP00000083182	0.25499	9606.ENSP00000083182
ENSP00000084798	0.97057	9606.ENSP00000084798
ENSP00000085068	0.56816	9606.ENSP00000085068
ENSP00000085219	0.19089	9606.ENSP00000085219
ENSP00000086933	0.054123	9606.ENSP00000086933
ENSP00000155840	0.63266	9606.ENSP00000155840
ENSP00000155858	0.22384	9606.ENSP00000155858
ENSP00000155926	0.904	9606.ENSP00000155926
ENSP00000156471	0.1046	9606.ENSP00000156471
ENSP00000156626	0.33186	9606.ENSP00000156626
ENSP00000157600	0.23678	9606.ENSP00000157600
ENSP00000157812	0.24983	9606.ENSP00000157812
ENSP00000158009	0.40297	9606.ENSP00000158009
ENSP00000158762	0.33534	9606.ENSP00000158762
ENSP00000158771	0.02699	9606.ENSP00000158771
ENSP00000159060	0.069389	9606.ENSP00000159060
ENSP00000159087	0.51937	9606.ENSP00000159087
ENSP00000159111	0.018805	9606.ENSP00000159111
ENSP00000160262	0.045239	9606.ENSP00000160262
ENSP00000160373	0.083067	9606.ENSP00000160373
ENSP00000160382	0.19211	9606.ENSP00000160382
ENSP00000160827	0.61432	9606.ENSP00000160827
ENSP00000161006	0.12372	9606.ENSP00000161006
ENSP00000161559	0.17268	9606.ENSP00000161559
ENSP00000161863	0.49197	9606.ENSP00000161863
ENSP00000162044	0.028797	9606.ENSP00000162044
ENSP00000162391	0.0093587	9606.ENSP00000162391
ENSP00000162749	0.21771	9606.ENSP00000162749
ENSP00000163416	0.68176	9606.ENSP00000163416
ENSP00000164024	0.46266	9606.ENSP00000164024
ENSP00000164133	0.27825	9606.ENSP00000164133
ENSP00000164139	0.34512	9606.ENSP00000164139
ENSP00000164227	0.0076021	9606.ENSP00000164227
ENSP00000164305	0.35526	9606.ENSP00000164305
ENSP00000165524	0.79131	9606.ENSP00000165524
ENSP00000166139	0.24643	9606.ENSP00000166139
ENSP00000166244	0.55799	9606.ENSP00000166244
ENSP00000166345	0.6551	9606.ENSP00000166345
ENSP00000167106	0.27839	9606.ENSP00000167106
ENSP00000167586	0.26487	9606.ENSP00000167586
ENSP00000167588	0.25782	9606.ENSP00000167588
ENSP00000168148	0.82077	9606.ENSP00000168148
ENSP00000168712	0.42558	9606.ENSP00000168712
ENSP00000169298	0.57716	9606.ENSP00000169298
ENSP00000169551	0.0049924	9606.ENSP00000169551
ENSP00000170150	0.22327	9606.ENSP00000170150
ENSP00000170168	0.5805	9606.ENSP00000170168
ENSP00000170447	0.15313	9606.ENSP00000170447
ENSP00000170564	0.037962	9606.ENSP00000170564
ENSP00000171887	0.1904	9606.ENSP00000171887
ENSP00000172229	0.12138	9606.ENSP00000172229
ENSP00000173229	0.086204	9606.ENSP00000173229
ENSP00000173527	0.31853	9606.ENSP00000173527
ENSP00000174618	0.12874	9606.ENSP00000174618
ENSP00000175091	0.89267	9606.ENSP00000175091
