protein	pval
9606.ENSP00000304915	0.0
9606.ENSP00000327025	0.0
9606.ENSP00000333952	0.0
9606.ENSP00000335006	0.0
9606.ENSP00000337862	0.0
9606.ENSP00000353203	0.0
9606.ENSP00000357778	0.0
9606.ENSP00000357789	0.0
9606.ENSP00000357812	0.0
9606.ENSP00000387211	0.0
9606.ENSP00000357744	9.234781e-28
9606.ENSP00000330391	2.4064727e-23
9606.ENSP00000357779	7.486784e-23
9606.ENSP00000357764	1.6505867e-22
9606.ENSP00000357754	3.5484e-22
9606.ENSP00000295269	1.3990446e-21
9606.ENSP00000418193	2.1008497e-21
9606.ENSP00000231449	6.5163e-21
9606.ENSP00000387122	2.4088575e-20
9606.ENSP00000357740	1.1704169e-19
9606.ENSP00000475270	6.4398947e-19
9606.ENSP00000271835	9.95698e-19
9606.ENSP00000357736	1.1193e-18
9606.ENSP00000454303	3.7165845e-18
9606.ENSP00000411070	9.407634e-18
9606.ENSP00000233954	1.285496e-17
9606.ENSP00000353332	4.6827343e-17
9606.ENSP00000257570	5.855896e-16
9606.ENSP00000480484	1.4775388e-15
9606.ENSP00000364080	4.0724e-15
9606.ENSP00000483486	7.375432e-15
9606.ENSP00000306461	1.07983385e-14
9606.ENSP00000359070	1.113508e-14
9606.ENSP00000316674	1.5126e-14
9606.ENSP00000357711	4.7512236e-14
9606.ENSP00000357810	1.2640728e-13
9606.ENSP00000308193	1.3257074e-13
9606.ENSP00000357727	2.3290853e-13
9606.ENSP00000357746	2.7448077e-13
9606.ENSP00000252250	5.085247e-13
9606.ENSP00000348668	5.517431e-13
9606.ENSP00000334869	5.519715e-13
9606.ENSP00000309521	6.1376707e-13
9606.ENSP00000282507	6.2813063e-13
9606.ENSP00000342710	7.1825494e-13
9606.ENSP00000357776	9.24722e-13
9606.ENSP00000357796	1.1155646e-12
9606.ENSP00000361199	3.1263332e-12
9606.ENSP00000411948	4.270399e-12
9606.ENSP00000301653	4.741203e-12
9606.ENSP00000296861	1.16384e-11
9606.ENSP00000357470	1.2479107e-11
9606.ENSP00000360718	1.7042985e-11
9606.ENSP00000357721	2.77587e-11
9606.ENSP00000379092	4.062947e-11
9606.ENSP00000378536	7.974961e-11
9606.ENSP00000264260	9.52628e-11
9606.ENSP00000377771	1.2325989e-10
9606.ENSP00000357869	1.3049138e-10
9606.ENSP00000343398	1.5227936e-10
9606.ENSP00000231454	2.1563396e-10
9606.ENSP00000320017	2.3872487e-10
9606.ENSP00000369293	2.8514588e-10
9606.ENSP00000296513	3.5597e-10
9606.ENSP00000357791	6.6564315e-10
9606.ENSP00000384273	6.7956607e-10
9606.ENSP00000419249	7.07538e-10
9606.ENSP00000357914	8.5743806e-10
