Ensembl	pval	protein
ENSP00000257570	3.8469717563502e-30	9606.ENSP00000257570
ENSP00000357778	1.39389553169364e-26	9606.ENSP00000357778
ENSP00000252250	1.45010571967854e-24	9606.ENSP00000252250
ENSP00000282507	2.84975143087714e-24	9606.ENSP00000282507
ENSP00000348668	1.01301269429433e-23	9606.ENSP00000348668
ENSP00000357776	1.2500888748011499e-23	9606.ENSP00000357776
ENSP00000342710	1.2695396403485599e-23	9606.ENSP00000342710
ENSP00000361199	3.0116345663955096e-23	9606.ENSP00000361199
ENSP00000301653	5.49165869453114e-23	9606.ENSP00000301653
ENSP00000296861	2.0225525350727798e-22	9606.ENSP00000296861
ENSP00000360718	5.73166062197852e-22	9606.ENSP00000360718
ENSP00000379092	5.81476516678233e-21	9606.ENSP00000379092
ENSP00000306461	5.21065838686196e-20	9606.ENSP00000306461
ENSP00000357711	1.0878573186373099e-19	9606.ENSP00000357711
ENSP00000320017	1.0957214289994199e-19	9606.ENSP00000320017
ENSP00000357727	1.6487262202998098e-19	9606.ENSP00000357727
ENSP00000283752	2.3735530253893e-17	9606.ENSP00000283752
ENSP00000343445	7.63040240799525e-17	9606.ENSP00000343445
ENSP00000357721	8.96191436237046e-17	9606.ENSP00000357721
ENSP00000265131	4.76781742215281e-16	9606.ENSP00000265131
ENSP00000269489	2.17444214640115e-15	9606.ENSP00000269489
ENSP00000335006	3.1872920104576803e-15	9606.ENSP00000335006
ENSP00000381601	3.3312028674200604e-15	9606.ENSP00000381601
ENSP00000357751	3.72807376133932e-15	9606.ENSP00000357751
ENSP00000280606	5.756119846412101e-15	9606.ENSP00000280606
ENSP00000338157	7.510645360344981e-15	9606.ENSP00000338157
ENSP00000313699	8.294588750351441e-15	9606.ENSP00000313699
ENSP00000499289	8.36846651447906e-15	9606.ENSP00000499289
ENSP00000411948	3.51170983704781e-14	9606.ENSP00000411948
ENSP00000356975	5.51146410529798e-14	9606.ENSP00000356975
ENSP00000389289	5.68573877927676e-14	9606.ENSP00000389289
ENSP00000286574	7.13986528568623e-14	9606.ENSP00000286574
ENSP00000333952	2.09071501760567e-13	9606.ENSP00000333952
ENSP00000369317	2.88041740721836e-13	9606.ENSP00000369317
ENSP00000428780	3.04770635328608e-13	9606.ENSP00000428780
ENSP00000161006	3.86880199278907e-13	9606.ENSP00000161006
ENSP00000305839	4.06212921421214e-13	9606.ENSP00000305839
ENSP00000461945	4.81126487738796e-13	9606.ENSP00000461945
ENSP00000409378	4.83738982849885e-13	9606.ENSP00000409378
ENSP00000280904	7.53924293218774e-13	9606.ENSP00000280904
ENSP00000263326	9.42236704853627e-13	9606.ENSP00000263326
ENSP00000342278	1.10692398053806e-12	9606.ENSP00000342278
ENSP00000357718	1.12260583533399e-12	9606.ENSP00000357718
ENSP00000415823	1.31568268532073e-12	9606.ENSP00000415823
ENSP00000352584	2.28229978696571e-12	9606.ENSP00000352584
ENSP00000484710	4.23239733186127e-12	9606.ENSP00000484710
ENSP00000257189	5.25350878982037e-12	9606.ENSP00000257189
ENSP00000219919	1.08129357307511e-11	9606.ENSP00000219919
ENSP00000305603	1.1849610290238098e-11	9606.ENSP00000305603
ENSP00000362525	1.3896493653295698e-11	9606.ENSP00000362525
ENSP00000315370	1.9200539830254797e-11	9606.ENSP00000315370
ENSP00000416341	3.2809581917039696e-11	9606.ENSP00000416341
ENSP00000306390	4.16842684584426e-11	9606.ENSP00000306390
ENSP00000483430	6.203534899107739e-11	9606.ENSP00000483430
ENSP00000322788	8.384388481108269e-11	9606.ENSP00000322788
ENSP00000357746	1.00562865822222e-10	9606.ENSP00000357746
ENSP00000357744	1.01431151316723e-10	9606.ENSP00000357744
ENSP00000372295	1.46195530633801e-10	9606.ENSP00000372295
ENSP00000342513	1.79616374801376e-10	9606.ENSP00000342513
ENSP00000451040	1.99070913904189e-10	9606.ENSP00000451040
ENSP00000232975	2.46301308656678e-10	9606.ENSP00000232975
ENSP00000364243	2.86116808759981e-10	9606.ENSP00000364243
ENSP00000243924	3.96480857139473e-10	9606.ENSP00000243924
ENSP00000257264	4.84647579988246e-10	9606.ENSP00000257264
ENSP00000252252	5.07514154674253e-10	9606.ENSP00000252252
ENSP00000366926	5.15823140913516e-10	9606.ENSP00000366926
ENSP00000379038	5.35329383464126e-10	9606.ENSP00000379038
ENSP00000384719	9.43297576024042e-10	9606.ENSP00000384719
ENSP00000264634	1.2056891967351801e-9	9606.ENSP00000264634
ENSP00000357726	1.2335812597868902e-9	9606.ENSP00000357726
ENSP00000260502	1.86791507496351e-9	9606.ENSP00000260502
ENSP00000230321	1.89764581468225e-9	9606.ENSP00000230321
ENSP00000397073	2.39524615195656e-9	9606.ENSP00000397073
ENSP00000382707	2.4425205186723704e-9	9606.ENSP00000382707
ENSP00000490925	3.08883338083623e-9	9606.ENSP00000490925
ENSP00000334145	3.1837781992049105e-9	9606.ENSP00000334145
ENSP00000416996	3.756639238280781e-9	9606.ENSP00000416996
ENSP00000302579	4.04109578546041e-9	9606.ENSP00000302579
ENSP00000378965	4.17886835599608e-9	9606.ENSP00000378965
ENSP00000284110	4.375576660191641e-9	9606.ENSP00000284110
ENSP00000355995	5.3915445774841206e-9	9606.ENSP00000355995
ENSP00000354652	5.6386528868728e-9	9606.ENSP00000354652
ENSP00000406026	7.047513917435281e-9	9606.ENSP00000406026
