ids	values
9606.ENSP00000374552	0.0
9606.ENSP00000364114	1.4426362e-35
9606.ENSP00000364080	4.5192585e-23
9606.ENSP00000353099	6.5932604e-21
9606.ENSP00000414287	7.7075744e-21
9606.ENSP00000416561	1.2021764e-20
9606.ENSP00000321345	1.6112412e-20
9606.ENSP00000364543	3.5043054e-20
9606.ENSP00000296452	5.4582405e-20
9606.ENSP00000296456	9.457904e-20
9606.ENSP00000328287	9.710338e-20
9606.ENSP00000364578	1.1950258e-19
9606.ENSP00000365076	1.414405e-19
9606.ENSP00000365042	1.7817314e-19
9606.ENSP00000265849	1.910055e-19
9606.ENSP00000364992	8.515467e-19
9606.ENSP00000396688	1.0052e-18
9606.ENSP00000379282	1.5203871e-18
9606.ENSP00000273588	1.3224243e-17
9606.ENSP00000390613	1.7884995e-17
9606.ENSP00000365131	2.9192895e-17
9606.ENSP00000265560	3.0514653e-17
9606.ENSP00000380081	3.809966e-17
9606.ENSP00000273598	7.0017126e-17
9606.ENSP00000273590	7.366759e-17
9606.ENSP00000342828	1.2124717e-16
9606.ENSP00000364261	2.5613713e-16
9606.ENSP00000407685	8.5713895e-16
9606.ENSP00000271450	8.737177e-16
9606.ENSP00000412237	2.0467357e-15
9606.ENSP00000411788	2.2188598e-15
9606.ENSP00000378786	4.6795775e-15
9606.ENSP00000364482	5.811993e-15
9606.ENSP00000365024	8.191236e-15
9606.ENSP00000299367	8.595186e-15
9606.ENSP00000379078	1.01931115e-14
9606.ENSP00000364498	1.1257872e-14
9606.ENSP00000365201	1.6538457e-14
9606.ENSP00000400175	4.203174e-14
9606.ENSP00000499459	1.0076381e-13
9606.ENSP00000342156	8.7572983e-13
9606.ENSP00000252229	9.409574e-13
9606.ENSP00000415517	1.1661326e-12
9606.ENSP00000365071	1.1675158e-12
9606.ENSP00000442600	1.3802439e-12
9606.ENSP00000259845	1.4162681e-12
9606.ENSP00000365433	1.6021916e-12
9606.ENSP00000364813	2.1051288e-12
9606.ENSP00000259881	3.4724214e-12
9606.ENSP00000329915	6.2776863e-12
9606.ENSP00000222399	8.73438e-12
9606.ENSP00000259870	9.031432e-12
9606.ENSP00000384700	1.1712395e-11
9606.ENSP00000335384	1.3309057e-11
9606.ENSP00000364163	1.4938252e-11
9606.ENSP00000364032	2.2045492e-11
9606.ENSP00000411831	2.4309308e-11
9606.ENSP00000392105	3.285283e-11
9606.ENSP00000205402	3.6797374e-11
9606.ENSP00000399168	5.303622e-11
9606.ENSP00000364298	5.465931e-11
9606.ENSP00000371067	6.2797045e-11
9606.ENSP00000372724	7.06132e-11
9606.ENSP00000364349	7.199369e-11
9606.ENSP00000379566	7.487938e-11
9606.ENSP00000259915	8.764787e-11
9606.ENSP00000344544	9.196411e-11
9606.ENSP00000377724	1.4004742e-10
9606.ENSP00000332013	1.7730958e-10
9606.ENSP00000411948	2.1411307e-10
9606.ENSP00000364210	2.6920902e-10
9606.ENSP00000364263	2.7145455e-10
9606.ENSP00000410481	3.2120645e-10
9606.ENSP00000415049	3.6203027e-10
9606.ENSP00000378877	3.7319636e-10
9606.ENSP00000395538	4.993923e-10
9606.ENSP00000365465	5.166745e-10
9606.ENSP00000455906	5.183521e-10
